YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2019,6,46660,21988,Autotrader
2021,4,64878,22401,Autotrader
2011,14,95453,7289,Autotrader
2023,2,0,29556,Autotrader
2025,0,9654,30333,Autotrader
2016,9,80637,17999,Autotrader
2007,18,137479,8250,Autotrader
2020,5,43753,23425,Autotrader
2022,3,52719,22750,Autotrader
2012,13,130000,10385,Autotrader
2018,7,99500,17522,Autotrader
2024,1,14305,25995,Autotrader
2017,8,81840,15495,Autotrader
2014,11,125108,8497,Autotrader
2013,12,75785,14999,Autotrader